Image dimensions: 28 x 28
Loaded 10000 images
Model created with 2 layers
Layer 0: 784 inputs, 8 neurons
Layer 1: 8 inputs, 10 neurons
Number of parameters: 6370
Loading model from file ./models/model_20260320_184837_h8.mdl

Running inference on 10000 images...

Image 0: Predicted digit = 0, Confidence = 0.1471
Image 1: Predicted digit = 0, Confidence = 1.0000
Image 2: Predicted digit = 0, Confidence = 0.9917
Image 3: Predicted digit = 0, Confidence = 1.0000
Image 4: Predicted digit = 0, Confidence = 0.9475
Image 5: Predicted digit = 0, Confidence = 0.9992
Image 6: Predicted digit = 0, Confidence = 0.9471
Image 7: Predicted digit = 0, Confidence = 0.9997
Image 8: Predicted digit = 0, Confidence = 0.4464
Image 9: Predicted digit = 0, Confidence = 0.9999
Image 10: Predicted digit = 0, Confidence = 0.9995
Image 11: Predicted digit = 0, Confidence = 0.9289
Image 12: Predicted digit = 0, Confidence = 0.9881
Image 13: Predicted digit = 0, Confidence = 1.0000
Image 14: Predicted digit = 0, Confidence = 1.0000
Image 15: Predicted digit = 0, Confidence = 0.9985
Image 16: Predicted digit = 0, Confidence = 0.9960
Image 17: Predicted digit = 0, Confidence = 0.9872
Image 18: Predicted digit = 0, Confidence = 1.0000
Image 19: Predicted digit = 0, Confidence = 0.9927
Image 20: Predicted digit = 0, Confidence = 1.0000
Image 21: Predicted digit = 0, Confidence = 1.0000
Image 22: Predicted digit = 0, Confidence = 0.9533
Image 23: Predicted digit = 0, Confidence = 0.5663
Image 24: Predicted digit = 0, Confidence = 0.9870
Image 25: Predicted digit = 0, Confidence = 1.0000
Image 26: Predicted digit = 0, Confidence = 0.9973
Image 27: Predicted digit = 0, Confidence = 0.9993
Image 28: Predicted digit = 0, Confidence = 0.9996
Image 29: Predicted digit = 0, Confidence = 0.9994
Image 30: Predicted digit = 0, Confidence = 0.9922
Image 31: Predicted digit = 0, Confidence = 1.0000
Image 32: Predicted digit = 0, Confidence = 1.0000
Image 33: Predicted digit = 0, Confidence = 0.9924
Image 34: Predicted digit = 0, Confidence = 0.9989
Image 35: Predicted digit = 0, Confidence = 0.9982
Image 36: Predicted digit = 0, Confidence = 0.9733
Image 37: Predicted digit = 0, Confidence = 1.0000
Image 38: Predicted digit = 0, Confidence = 0.9999
Image 39: Predicted digit = 0, Confidence = 0.9970
Image 40: Predicted digit = 0, Confidence = 0.9585
Image 41: Predicted digit = 0, Confidence = 0.9914
Image 42: Predicted digit = 0, Confidence = 0.9491
Image 43: Predicted digit = 0, Confidence = 0.9994
Image 44: Predicted digit = 0, Confidence = 0.2376
Image 45: Predicted digit = 0, Confidence = 0.2197
Image 46: Predicted digit = 0, Confidence = 1.0000
Image 47: Predicted digit = 0, Confidence = 1.0000
Image 48: Predicted digit = 0, Confidence = 0.9999
Image 49: Predicted digit = 0, Confidence = 0.3120
Image 50: Predicted digit = 0, Confidence = 1.0000
Image 51: Predicted digit = 0, Confidence = 0.9998
